id,title,author,text,label
831,Stock markets hit record highs amid tech boom,David Wilson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
832,Celebrity claims to be time traveler from 3020,Emily Johnson,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
833,Government announces new healthcare reform,Olivia Walker,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
834,Stock markets hit record highs amid tech boom,Michael Brown,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
835,Cure for cancer found using secret ancient herb,James Lewis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
836,New species of bird discovered in the Amazon rainforest,Michael Brown,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
837,Aliens spotted in downtown New York,James Lewis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
838,Stock markets hit record highs amid tech boom,Sarah Davis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
839,Aliens spotted in downtown New York,Emily Johnson,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
840,Scientists confirm Earth is flat again,Sarah Davis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
841,Government hiding evidence of UFO crash,John Smith,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
842,NASA discovers new exoplanet similar to Earth,John Smith,Schools are now integrating AI models to enhance personalized education for students.,0
843,Aliens spotted in downtown New York,Laura Clark,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
844,New species of bird discovered in the Amazon rainforest,David Wilson,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
845,Government hiding evidence of UFO crash,Michael Brown,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
846,Government announces new healthcare reform,James Lewis,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
847,Government hiding evidence of UFO crash,Olivia Walker,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
848,Stock markets hit record highs amid tech boom,James Lewis,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
849,Stock markets hit record highs amid tech boom,Emily Johnson,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
850,Celebrity claims to be time traveler from 3020,John Smith,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
851,Government announces new healthcare reform,David Wilson,Experts say the stock market growth is due to innovation in the technology sector.,0
852,Local schools adopt AI-based learning programs,James Lewis,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
853,NASA discovers new exoplanet similar to Earth,Emily Johnson,Schools are now integrating AI models to enhance personalized education for students.,0
854,Cure for cancer found using secret ancient herb,David Wilson,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
855,Local schools adopt AI-based learning programs,Sarah Davis,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
856,Scientists confirm Earth is flat again,Emily Johnson,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
857,Local schools adopt AI-based learning programs,Sarah Davis,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
858,New species of bird discovered in the Amazon rainforest,Emily Johnson,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
859,Cure for cancer found using secret ancient herb,Olivia Walker,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
860,Scientists confirm Earth is flat again,David Wilson,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
861,Celebrity claims to be time traveler from 3020,Sarah Davis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
862,New species of bird discovered in the Amazon rainforest,John Smith,Experts say the stock market growth is due to innovation in the technology sector.,0
863,Celebrity claims to be time traveler from 3020,Laura Clark,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
864,Celebrity claims to be time traveler from 3020,David Wilson,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
865,Cure for cancer found using secret ancient herb,John Smith,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
866,Scientists confirm Earth is flat again,James Lewis,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
867,New species of bird discovered in the Amazon rainforest,James Lewis,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
868,Government announces new healthcare reform,James Lewis,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
869,Scientists confirm Earth is flat again,John Smith,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
870,NASA discovers new exoplanet similar to Earth,Sarah Davis,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
871,Celebrity claims to be time traveler from 3020,James Lewis,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
872,Celebrity claims to be time traveler from 3020,Michael Brown,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
873,Scientists confirm Earth is flat again,Emily Johnson,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
874,Aliens spotted in downtown New York,Sarah Davis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
875,Stock markets hit record highs amid tech boom,Laura Clark,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
876,Celebrity claims to be time traveler from 3020,David Wilson,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
877,Cure for cancer found using secret ancient herb,John Smith,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
878,Government hiding evidence of UFO crash,Sarah Davis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
879,Government announces new healthcare reform,Laura Clark,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
880,Government hiding evidence of UFO crash,David Wilson,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
881,Celebrity claims to be time traveler from 3020,David Wilson,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
882,Aliens spotted in downtown New York,Sarah Davis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
883,Government hiding evidence of UFO crash,Sarah Davis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
884,Government hiding evidence of UFO crash,Emily Johnson,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
885,Stock markets hit record highs amid tech boom,John Smith,Schools are now integrating AI models to enhance personalized education for students.,0
886,Cure for cancer found using secret ancient herb,Michael Brown,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
887,New species of bird discovered in the Amazon rainforest,David Wilson,Experts say the stock market growth is due to innovation in the technology sector.,0
888,Aliens spotted in downtown New York,Laura Clark,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
889,Cure for cancer found using secret ancient herb,Michael Brown,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
890,Cure for cancer found using secret ancient herb,Emily Johnson,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
891,Local schools adopt AI-based learning programs,Michael Brown,Experts say the stock market growth is due to innovation in the technology sector.,0
892,Local schools adopt AI-based learning programs,John Smith,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
893,New species of bird discovered in the Amazon rainforest,Michael Brown,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
894,Scientists confirm Earth is flat again,Olivia Walker,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
895,Cure for cancer found using secret ancient herb,Michael Brown,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
896,Scientists confirm Earth is flat again,Michael Brown,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
897,Government announces new healthcare reform,Olivia Walker,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
898,New species of bird discovered in the Amazon rainforest,Olivia Walker,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
899,Government hiding evidence of UFO crash,Emily Johnson,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
900,Cure for cancer found using secret ancient herb,Sarah Davis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
901,Aliens spotted in downtown New York,John Smith,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
902,Celebrity claims to be time traveler from 3020,Laura Clark,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
903,Aliens spotted in downtown New York,Michael Brown,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
904,Celebrity claims to be time traveler from 3020,Sarah Davis,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
905,Local schools adopt AI-based learning programs,David Wilson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
906,Scientists confirm Earth is flat again,David Wilson,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
907,New species of bird discovered in the Amazon rainforest,Olivia Walker,Schools are now integrating AI models to enhance personalized education for students.,0
908,NASA discovers new exoplanet similar to Earth,John Smith,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
909,Stock markets hit record highs amid tech boom,Emily Johnson,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
910,Cure for cancer found using secret ancient herb,John Smith,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
911,Local schools adopt AI-based learning programs,Michael Brown,Experts say the stock market growth is due to innovation in the technology sector.,0
912,NASA discovers new exoplanet similar to Earth,Laura Clark,Schools are now integrating AI models to enhance personalized education for students.,0
913,Stock markets hit record highs amid tech boom,James Lewis,Schools are now integrating AI models to enhance personalized education for students.,0
914,Scientists confirm Earth is flat again,Sarah Davis,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
915,Local schools adopt AI-based learning programs,John Smith,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
916,Stock markets hit record highs amid tech boom,James Lewis,Experts say the stock market growth is due to innovation in the technology sector.,0
917,Government hiding evidence of UFO crash,David Wilson,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
918,Stock markets hit record highs amid tech boom,Olivia Walker,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
919,Aliens spotted in downtown New York,Emily Johnson,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
920,Local schools adopt AI-based learning programs,Emily Johnson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
921,New species of bird discovered in the Amazon rainforest,Olivia Walker,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
922,Stock markets hit record highs amid tech boom,Sarah Davis,Experts say the stock market growth is due to innovation in the technology sector.,0
923,Local schools adopt AI-based learning programs,Laura Clark,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
924,NASA discovers new exoplanet similar to Earth,David Wilson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
925,Aliens spotted in downtown New York,Olivia Walker,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
926,Scientists confirm Earth is flat again,Michael Brown,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
927,Aliens spotted in downtown New York,Sarah Davis,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
928,NASA discovers new exoplanet similar to Earth,Olivia Walker,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
929,Celebrity claims to be time traveler from 3020,David Wilson,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
930,Government hiding evidence of UFO crash,John Smith,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
931,Scientists confirm Earth is flat again,Olivia Walker,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
932,Stock markets hit record highs amid tech boom,Sarah Davis,Schools are now integrating AI models to enhance personalized education for students.,0
933,Local schools adopt AI-based learning programs,James Lewis,Schools are now integrating AI models to enhance personalized education for students.,0
934,Cure for cancer found using secret ancient herb,Laura Clark,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
935,Government announces new healthcare reform,David Wilson,Schools are now integrating AI models to enhance personalized education for students.,0
936,Celebrity claims to be time traveler from 3020,John Smith,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
937,Local schools adopt AI-based learning programs,Laura Clark,Schools are now integrating AI models to enhance personalized education for students.,0
938,Scientists confirm Earth is flat again,Olivia Walker,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
939,Stock markets hit record highs amid tech boom,Michael Brown,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
940,Aliens spotted in downtown New York,Sarah Davis,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
941,Stock markets hit record highs amid tech boom,Laura Clark,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
942,Scientists confirm Earth is flat again,Emily Johnson,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
943,Stock markets hit record highs amid tech boom,Emily Johnson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
944,Local schools adopt AI-based learning programs,John Smith,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
945,Local schools adopt AI-based learning programs,Emily Johnson,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
946,Aliens spotted in downtown New York,James Lewis,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
947,New species of bird discovered in the Amazon rainforest,Sarah Davis,Schools are now integrating AI models to enhance personalized education for students.,0
948,Aliens spotted in downtown New York,Sarah Davis,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
949,Scientists confirm Earth is flat again,Olivia Walker,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
950,Cure for cancer found using secret ancient herb,David Wilson,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
951,Government announces new healthcare reform,Laura Clark,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
952,Cure for cancer found using secret ancient herb,Michael Brown,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
953,Cure for cancer found using secret ancient herb,James Lewis,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
954,Stock markets hit record highs amid tech boom,Olivia Walker,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
955,Celebrity claims to be time traveler from 3020,Olivia Walker,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
956,Celebrity claims to be time traveler from 3020,James Lewis,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
957,Aliens spotted in downtown New York,Olivia Walker,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
958,Scientists confirm Earth is flat again,James Lewis,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
959,Government announces new healthcare reform,Emily Johnson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
960,Stock markets hit record highs amid tech boom,James Lewis,Schools are now integrating AI models to enhance personalized education for students.,0
961,Scientists confirm Earth is flat again,Emily Johnson,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
962,Aliens spotted in downtown New York,Emily Johnson,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
963,Stock markets hit record highs amid tech boom,Emily Johnson,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
964,Local schools adopt AI-based learning programs,James Lewis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
965,Celebrity claims to be time traveler from 3020,Laura Clark,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
966,Government announces new healthcare reform,David Wilson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
967,Celebrity claims to be time traveler from 3020,Sarah Davis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
968,Local schools adopt AI-based learning programs,Sarah Davis,Schools are now integrating AI models to enhance personalized education for students.,0
969,Aliens spotted in downtown New York,Emily Johnson,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
970,New species of bird discovered in the Amazon rainforest,John Smith,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
971,New species of bird discovered in the Amazon rainforest,David Wilson,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
972,Government hiding evidence of UFO crash,Michael Brown,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
973,NASA discovers new exoplanet similar to Earth,Michael Brown,Schools are now integrating AI models to enhance personalized education for students.,0
974,Aliens spotted in downtown New York,Sarah Davis,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
975,Scientists confirm Earth is flat again,Michael Brown,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
976,NASA discovers new exoplanet similar to Earth,David Wilson,Schools are now integrating AI models to enhance personalized education for students.,0
977,New species of bird discovered in the Amazon rainforest,Laura Clark,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
978,NASA discovers new exoplanet similar to Earth,Michael Brown,Experts say the stock market growth is due to innovation in the technology sector.,0
979,Celebrity claims to be time traveler from 3020,Laura Clark,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
980,Celebrity claims to be time traveler from 3020,Emily Johnson,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
981,New species of bird discovered in the Amazon rainforest,Laura Clark,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
982,Cure for cancer found using secret ancient herb,Laura Clark,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
983,Government hiding evidence of UFO crash,David Wilson,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
984,NASA discovers new exoplanet similar to Earth,Emily Johnson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
985,Government announces new healthcare reform,Michael Brown,Experts say the stock market growth is due to innovation in the technology sector.,0
986,Local schools adopt AI-based learning programs,Emily Johnson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
987,Stock markets hit record highs amid tech boom,Laura Clark,Experts say the stock market growth is due to innovation in the technology sector.,0
988,Local schools adopt AI-based learning programs,Olivia Walker,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
989,Cure for cancer found using secret ancient herb,Laura Clark,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
990,Cure for cancer found using secret ancient herb,Olivia Walker,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
991,Local schools adopt AI-based learning programs,Laura Clark,Schools are now integrating AI models to enhance personalized education for students.,0
992,Celebrity claims to be time traveler from 3020,Laura Clark,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
993,Aliens spotted in downtown New York,James Lewis,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
994,New species of bird discovered in the Amazon rainforest,Michael Brown,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
995,Aliens spotted in downtown New York,James Lewis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
996,Government announces new healthcare reform,Olivia Walker,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
997,Scientists confirm Earth is flat again,Sarah Davis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
998,Cure for cancer found using secret ancient herb,Emily Johnson,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
999,Celebrity claims to be time traveler from 3020,David Wilson,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
1000,Scientists confirm Earth is flat again,John Smith,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
1001,Celebrity claims to be time traveler from 3020,James Lewis,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
1002,New species of bird discovered in the Amazon rainforest,Laura Clark,Experts say the stock market growth is due to innovation in the technology sector.,0
1003,New species of bird discovered in the Amazon rainforest,Laura Clark,Experts say the stock market growth is due to innovation in the technology sector.,0
1004,Government hiding evidence of UFO crash,John Smith,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
1005,Aliens spotted in downtown New York,John Smith,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
1006,NASA discovers new exoplanet similar to Earth,David Wilson,Experts say the stock market growth is due to innovation in the technology sector.,0
1007,Aliens spotted in downtown New York,David Wilson,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
1008,Government hiding evidence of UFO crash,Laura Clark,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
1009,New species of bird discovered in the Amazon rainforest,David Wilson,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
1010,Stock markets hit record highs amid tech boom,Emily Johnson,Experts say the stock market growth is due to innovation in the technology sector.,0
1011,Aliens spotted in downtown New York,James Lewis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
1012,Celebrity claims to be time traveler from 3020,Sarah Davis,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
1013,Aliens spotted in downtown New York,Olivia Walker,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
1014,New species of bird discovered in the Amazon rainforest,Sarah Davis,Schools are now integrating AI models to enhance personalized education for students.,0
1015,Government hiding evidence of UFO crash,John Smith,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
1016,Scientists confirm Earth is flat again,John Smith,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
1017,New species of bird discovered in the Amazon rainforest,Laura Clark,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
1018,Government hiding evidence of UFO crash,Laura Clark,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
1019,NASA discovers new exoplanet similar to Earth,Sarah Davis,Schools are now integrating AI models to enhance personalized education for students.,0
1020,Local schools adopt AI-based learning programs,John Smith,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
1021,Stock markets hit record highs amid tech boom,David Wilson,Schools are now integrating AI models to enhance personalized education for students.,0
1022,New species of bird discovered in the Amazon rainforest,James Lewis,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
1023,Government hiding evidence of UFO crash,James Lewis,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
1024,NASA discovers new exoplanet similar to Earth,Emily Johnson,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
1025,New species of bird discovered in the Amazon rainforest,Michael Brown,Experts say the stock market growth is due to innovation in the technology sector.,0
1026,NASA discovers new exoplanet similar to Earth,David Wilson,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
1027,Scientists confirm Earth is flat again,Emily Johnson,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
1028,NASA discovers new exoplanet similar to Earth,Emily Johnson,Schools are now integrating AI models to enhance personalized education for students.,0
1029,Celebrity claims to be time traveler from 3020,Olivia Walker,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
1030,Scientists confirm Earth is flat again,Michael Brown,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
1031,Celebrity claims to be time traveler from 3020,David Wilson,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
1032,New species of bird discovered in the Amazon rainforest,Laura Clark,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
1033,Stock markets hit record highs amid tech boom,James Lewis,Experts say the stock market growth is due to innovation in the technology sector.,0
1034,NASA discovers new exoplanet similar to Earth,John Smith,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
1035,New species of bird discovered in the Amazon rainforest,John Smith,Schools are now integrating AI models to enhance personalized education for students.,0
1036,NASA discovers new exoplanet similar to Earth,Sarah Davis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
1037,NASA discovers new exoplanet similar to Earth,Olivia Walker,Experts say the stock market growth is due to innovation in the technology sector.,0
1038,Scientists confirm Earth is flat again,Emily Johnson,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
1039,Celebrity claims to be time traveler from 3020,Olivia Walker,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
1040,NASA discovers new exoplanet similar to Earth,James Lewis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
1041,Aliens spotted in downtown New York,Olivia Walker,Scientists now admit that all space missions were staged and Earth is indeed flat.,1
1042,Scientists confirm Earth is flat again,Sarah Davis,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
1043,NASA discovers new exoplanet similar to Earth,Laura Clark,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
1044,Government hiding evidence of UFO crash,Emily Johnson,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
1045,NASA discovers new exoplanet similar to Earth,David Wilson,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
1046,New species of bird discovered in the Amazon rainforest,Emily Johnson,Experts say the stock market growth is due to innovation in the technology sector.,0
1047,New species of bird discovered in the Amazon rainforest,John Smith,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
1048,Government announces new healthcare reform,James Lewis,Experts say the stock market growth is due to innovation in the technology sector.,0
1049,Government hiding evidence of UFO crash,John Smith,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
1050,Cure for cancer found using secret ancient herb,Olivia Walker,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
1051,Local schools adopt AI-based learning programs,James Lewis,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
1052,Cure for cancer found using secret ancient herb,David Wilson,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
1053,Celebrity claims to be time traveler from 3020,Emily Johnson,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
1054,Stock markets hit record highs amid tech boom,James Lewis,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
1055,Stock markets hit record highs amid tech boom,Michael Brown,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
1056,Celebrity claims to be time traveler from 3020,Olivia Walker,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
1057,New species of bird discovered in the Amazon rainforest,James Lewis,Experts say the stock market growth is due to innovation in the technology sector.,0
1058,Celebrity claims to be time traveler from 3020,Olivia Walker,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
1059,Scientists confirm Earth is flat again,Laura Clark,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
1060,Cure for cancer found using secret ancient herb,Olivia Walker,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
1061,New species of bird discovered in the Amazon rainforest,Olivia Walker,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
1062,Local schools adopt AI-based learning programs,Olivia Walker,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
1063,Celebrity claims to be time traveler from 3020,Michael Brown,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
1064,Government announces new healthcare reform,Sarah Davis,Schools are now integrating AI models to enhance personalized education for students.,0
1065,Scientists confirm Earth is flat again,David Wilson,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
1066,New species of bird discovered in the Amazon rainforest,David Wilson,Experts say the stock market growth is due to innovation in the technology sector.,0
1067,Government announces new healthcare reform,Sarah Davis,NASA confirmed that the new exoplanet discovered is located 300 light-years away and has similar conditions to Earth.,0
1068,Government announces new healthcare reform,David Wilson,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
1069,Aliens spotted in downtown New York,David Wilson,A leaked document reveals that the government has hidden alien spacecraft since the 1950s.,1
1070,Scientists confirm Earth is flat again,Olivia Walker,Eyewitnesses report bright lights and strange figures in the city sky last night.,1
1071,Scientists confirm Earth is flat again,David Wilson,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
1072,New species of bird discovered in the Amazon rainforest,James Lewis,Schools are now integrating AI models to enhance personalized education for students.,0
1073,New species of bird discovered in the Amazon rainforest,Olivia Walker,The recent policy changes have been aimed at improving the overall efficiency of the healthcare system.,0
1074,Aliens spotted in downtown New York,Emily Johnson,He revealed in an interview that he came from the year 3020 to warn humanity about future wars.,1
1075,Celebrity claims to be time traveler from 3020,Michael Brown,The herb has been kept secret by monks for centuries and can heal any disease instantly.,1
1076,Stock markets hit record highs amid tech boom,Michael Brown,Experts say the stock market growth is due to innovation in the technology sector.,0
1077,Stock markets hit record highs amid tech boom,Olivia Walker,"The discovery adds to the biodiversity of the Amazon, researchers say.",0
